Wavelength,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7,SBS8,SBT1,SBT2,SBT3,SBT4,SBT5,SBT6,SBT7,SBT8
451,6.020333333,3.966333333,4.745,4.478,3.770666667,9.262666667,3.946,4.622333333,5.648666667,6.462,4.814333333,5.24,6,8.037666667,6.531333333,5.205333333
452,5.9716875,4.041875,4.6655625,4.557625,3.8198125,8.980625,4.065625,4.541375,5.589,6.4103125,4.871375,5.221875,6.060125,8.04675,6.5189375,5.104875
453,5.9210625,4.235625,4.5286875,4.518875,3.8854375,8.741875,4.096875,4.470125,5.509,6.2909375,4.830125,5.145625,5.976375,8.04425,6.3008125,4.898625
454,5.8632,4.3012,4.467,4.653,4.063,8.8404,3.899,4.694,5.4494,6.225,4.6844,5.2736,6.193,7.9828,6.3798,4.8288
455,5.874133333,4.390933333,4.480066667,4.6938,4.0426,8.901733333,3.850866667,4.755466667,5.460866667,6.097533333,4.6076,5.2304,6.334466667,8.0452,6.383266667,4.841333333
456,5.989466667,4.538266667,4.592733333,4.5658,3.7066,8.851066667,4.065533333,4.524133333,5.575533333,5.868866667,4.6516,4.8964,6.313133333,8.3032,6.223933333,4.954666667
457,6.1462,4.631,4.589,4.5686,3.8416,8.9078,3.976,4.5478,5.575,5.9282,4.797,5.223,6.2702,7.9828,6.5728,5.2018
458,6.148333333,4.715266667,4.597666667,4.611266667,4.015333333,9.014333333,3.894533333,4.5838,5.542466667,6.0542,4.8126,5.411266667,6.1622,7.861066667,6.720266667,5.362466667
459,5.911666667,4.795933333,4.644333333,4.691933333,4.168666667,9.177666667,3.875866667,4.5958,5.481133333,6.2322,4.6166,5.281933333,5.9602,8.133733333,6.480933333,5.371133333
460,5.9282,4.6012,4.4774,4.6214,4.2914,9.068,3.9214,4.426,5.301,6.2578,4.765,5.1568,6.1338,8.1004,6.3094,5.321
461,5.931533333,4.3868,4.3798,4.626866667,4.228866667,8.9352,3.996733333,4.410933333,5.3258,6.3222,4.8666,5.154266667,6.212333333,8.024266667,6.229133333,5.277133333
462,5.872866667,4.1888,4.4218,4.771533333,3.893533333,8.8132,4.106066667,4.658266667,5.6778,6.4702,4.8406,5.334933333,6.085666667,7.934933333,6.274466667,5.252466667
463,6.14,4.349,4.7134,4.792,3.8654,8.8172,3.8374,4.6854,5.4898,6.4526,4.7474,5.4112,6.3202,7.977,6.6312,5.1738
464,6.255066667,4.5538,4.842333333,4.871466667,4.004733333,8.793333333,3.844866667,4.6358,5.442333333,6.5374,4.760333333,5.459866667,6.483666667,8.069666667,6.731866667,5.2046
465,6.087733333,4.7658,4.685666667,5.060133333,4.344066667,8.706666667,4.329533333,4.5078,5.695666667,6.8034,4.943666667,5.484533333,6.480333333,8.216333333,6.396533333,5.4086
