"","Ozone","Temp","Press","RH","WindSpeed","WindDir","Rainfall","Latitude","Longitude","VPD","Site"
"81",22.075,64.625,29.89275,96,0,321,0.0825,38.325623,-90.212738,0.832390636901895,1
"82",17.825,64.25,29.893,96,0,321,0,38.325623,-90.212738,0.82151444113361,1
"83",14.675,64.275,29.89475,96.25,0,321,0,38.325623,-90.212738,0.770797914819136,1
"84",15.175,63.5,29.90225,96,0,321,0,38.325623,-90.212738,0.800289777559333,1
"85",18.725,61.875,29.912,95.25,0,321,0,38.325623,-90.212738,0.89663444399715,1
"86",17.875,60.775,29.92775,96,0,321,0,38.325623,-90.212738,0.72691644498718,1
"87",19.025,60,29.954,92.25,0.75,157.75,0,38.325623,-90.212738,1.36804224772758,1
"88",18.325,60,29.97875,87.75,0.5,165,0,38.325623,-90.212738,2.16934382055609,1
"89",19.875,62.075,29.99825,78.25,1,177.5,0,38.325623,-90.212738,4.15897211867859,1
"90",27.55,64.1,30.00875,67.5,2,186.25,0,38.325623,-90.212738,6.65400193376929,1
"91",31.325,65.65,30.01325,62.75,1,172.5,0,38.325623,-90.212738,8.03535488816224,1
"92",31,66.7,30.017,58,1,180,0,38.325623,-90.212738,9.39284904732493,1
"93",28.35,87.9,29.874,61,3,177.5,0,38.325623,-90.212738,17.5814182093083,1
"94",26.375,88,29.86675,58.75,3,169.25,0,38.325623,-90.212738,18.6543413325046,1
"95",21.1666666666667,85.9333333333333,29.8573333333333,61.6666666666667,3,145,0,38.325623,-90.212738,16.238348653348,1
"96",19.875,84.75,29.8585,64,2.5,110.5,0,38.325623,-90.212738,14.6860950057382,1
"97",19.65,82.925,29.86825,69,1.75,36.75,0,38.325623,-90.212738,11.9335730704365,1
"98",24.05,81.475,29.88625,71.5,2,206.5,0,38.325623,-90.212738,10.4594689086338,1
"99",27.325,80.425,29.8955,73.5,2,47.25,0,38.325623,-90.212738,9.39847877329736,1
"100",30.05,79.925,29.892,74,2,49.5,0,38.325623,-90.212738,9.07032686231391,1
"101",28.6,79.3,29.8885,75,2,45,0,38.325623,-90.212738,8.54673806049907,1
