Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6,,,,,
493.6,4.699,3.138,3.903,3.591,5.199,3.981,3.341,3.435,3.903,4.491,5.965,6.14,9.368,7.544,9.684,3.934,3.685,5.282,4.42,5.282,5.031,5.066,6.719,4.42,5.426,5.929,5.354,4.815,,,,,
495.1,4.636,3.174,3.942,3.529,5.153,4.016,3.425,3.543,3.927,4.663,5.754,5.952,9.557,7.573,9.722,3.868,3.647,4.981,4.507,5.252,5.185,4.947,7.015,4.609,5.625,5.998,5.422,5.015,,,,,
496.6,4.692,3.193,3.887,3.512,5.275,4.123,3.401,3.498,4.012,4.52,5.913,6.006,9.257,7.523,9.752,3.817,3.595,5.216,4.358,5.439,5.216,5.025,6.648,4.676,5.312,5.884,5.248,4.803,,,,,
498.1,4.854,3.297,3.925,3.467,5.391,4.095,3.441,3.493,4.004,4.622,6.017,6.134,9.477,7.587,9.767,3.873,3.572,5.356,4.279,5.206,5.236,4.847,6.942,4.518,5.386,6.074,5.087,5.027,,,,,
499.6,4.937,3.25,4.019,3.597,5.619,4.205,3.485,3.523,3.982,4.494,5.782,6.084,9.263,7.344,9.756,3.932,3.548,5.254,4.496,5.367,5.142,4.945,6.968,4.889,5.367,5.985,5.282,4.777,,,,,
501.1,4.97,3.254,3.981,3.671,5.745,4.267,3.48,3.516,4.017,4.787,5.702,6.095,9.364,7.56,9.783,3.993,3.707,5.306,4.552,5.306,5.063,5.036,6.949,4.713,5.521,5.952,5.413,5.09,,,,,
502.6,5.096,3.308,3.981,3.772,5.955,4.306,3.633,3.575,4.179,4.803,5.89,5.94,9.353,7.457,9.681,3.981,3.668,5.319,4.589,5.267,5.319,5.137,7.04,4.772,5.58,6.18,5.293,5.007,,,,,
504.1,5.146,3.328,3.98,3.797,6.13,4.54,3.66,3.717,4.22,4.927,5.947,6.121,9.48,7.589,9.878,4.06,3.637,5.435,4.768,5.358,5.281,5.178,7.152,4.742,5.64,6.204,5.332,5.101,,,,,
505.5,5.263,3.414,4.061,3.925,6.352,4.617,3.777,3.698,4.344,4.974,5.934,6.205,9.456,7.88,9.85,4.118,3.743,5.549,5.042,5.599,5.422,5.244,7.297,4.864,5.675,6.435,5.397,5.118,,,,,
507,5.412,3.421,4.13,3.916,6.684,4.805,3.905,3.826,4.4,5.136,6.11,6.232,9.64,7.936,9.981,4.096,3.86,5.684,5.133,5.558,5.608,5.383,7.611,4.957,5.834,6.41,5.633,5.133,,,,,
508.5,5.536,3.489,4.183,4.026,7.034,5.077,4.037,3.735,4.563,5.292,6.23,6.255,9.67,7.987,10.176,4.205,3.881,5.766,5.098,5.716,5.667,5.271,7.77,4.85,5.989,6.558,5.617,5.048,,,,,
