Wavelength,SLSC SBS1,SLSC SBS2,SLSC SBS3,SLSC SBS4,SLSC SBS5,SLSC SBS6.1,SLSC SBS6.2,SLSC SBS7,SLSC SBS8,SLSC SBT1,SLSC SBT2,SLSC SBT3,SLSC SBT4,SLSC SBT5,SLSC SBT6,SLSC SBT7,SLSC SBT8,SWIC SBS1,SWIC SBS2,SWIC SBS3,SWIC SBS4,SWIC SBS5,SWIC SBT1,SWIC SBT2,SWIC SBT3,SWIC SBT4,SWIC SBT5,SWIC SBT6
1604,31.44283333,29.82966667,27.10033333,32.1615,33.64033333,31.65916667,30.621,33.5365,32.3085,30.23966667,36.7945,31.916,44.61583333,42.27616667,45.74966667,33.92166667,36.98,33.286,32.77933333,32.27233333,32.43583333,37.25316667,32.94333333,31.3785,34.13066667,30.75233333,35.439,35.16633333
1605,31.53,29.88686486,27.16602703,32.21837838,33.728,31.72627027,30.67505405,33.59275676,32.35972973,30.29278378,36.85859459,31.95497297,44.69864865,42.34248649,45.82483784,33.97967568,37.02748649,33.35440541,32.82383784,32.35024324,32.47064865,37.33002703,32.97724324,31.42278378,34.16948649,30.81183784,35.4867027,35.21389189
1606,31.59,29.92902703,27.22359459,32.24432432,33.828,31.82194595,30.74018919,33.61464865,32.41405405,30.30224324,36.92508108,31.96740541,44.77027027,42.4187027,45.88943243,34.05886486,37.0637027,33.40791892,32.85843243,32.42835135,32.52227027,37.42759459,32.98535135,31.47224324,34.2157027,30.88643243,35.55345946,35.25362162
1607,31.65,29.97118919,27.28116216,32.27027027,33.928,31.91762162,30.80532432,33.63654054,32.46837838,30.3117027,36.99156757,31.97983784,44.84189189,42.49491892,45.95402703,34.13805405,37.09991892,33.46143243,32.89302703,32.50645946,32.57389189,37.52516216,32.99345946,31.5217027,34.26191892,30.96102703,35.62021622,35.29335135
1608,31.71,30.01335135,27.33872973,32.29621622,34.028,32.0132973,30.87045946,33.65843243,32.5227027,30.32116216,37.05805405,31.99227027,44.91351351,42.57113514,46.01862162,34.21724324,37.13613514,33.51494595,32.92762162,32.58456757,32.62551351,37.62272973,33.00156757,31.57116216,34.30813514,31.03562162,35.68697297,35.33308108
1609,31.77019444,30.06605556,27.38730556,32.31625,34.11866667,32.10013889,30.92597222,33.69961111,32.57225,30.35530556,37.13069444,32.01622222,44.95813889,42.60780556,46.08213889,34.2865,37.18102778,33.58330556,33.01480556,32.66477778,32.71080556,37.69283333,33.04211111,31.65386111,34.39530556,31.11847222,35.77,35.40061111
1610,31.83047222,30.12327778,27.43202778,32.33375,34.20533333,32.18319444,30.97736111,33.74905556,32.61975,30.40002778,37.20597222,32.04511111,44.99119444,42.62752778,46.14519444,34.3515,37.22963889,33.65802778,33.12452778,32.74588889,32.81052778,37.75116667,33.09655556,31.75080556,34.50002778,31.20486111,35.86,35.48005556
1611,31.89075,30.1805,27.47675,32.35125,34.292,32.26625,31.02875,33.7985,32.66725,30.44475,37.28125,32.074,45.02425,42.64725,46.20825,34.4165,37.27825,33.73275,33.23425,32.827,32.91025,37.8095,33.151,31.84775,34.60475,31.29125,35.95,35.5595
1612,31.95105405,30.23789189,27.52262162,32.37237838,34.37416216,32.34421622,31.0767027,33.85067568,32.71397297,30.4942973,37.35478378,32.11137838,45.06375676,42.67162162,46.27218919,34.47845946,37.32645946,33.80543243,33.34113514,32.90540541,33.00540541,37.86418919,33.20991892,31.93940541,34.70451351,31.37064865,36.03754054,35.6357027
1613,32.01159459,30.29681081,27.57883784,32.42616216,34.41578378,32.37637838,31.09372973,33.92743243,32.7537027,30.58727027,37.41262162,32.22516216,45.16132432,42.73783784,46.34408108,34.51305405,37.37105405,33.85975676,33.42248649,32.95945946,33.05945946,37.88608108,33.30910811,31.98345946,34.75964865,31.38713514,36.10294595,35.68272973
1614,32.07213514,30.35572973,27.63505405,32.47994595,34.45740541,32.40854054,31.11075676,34.00418919,32.79343243,30.68024324,37.47045946,32.33894595,45.25889189,42.80405405,46.41597297,34.54764865,37.41564865,33.91408108,33.50383784,33.01351351,33.11351351,37.90797297,33.4082973,32.02751351,34.81478378,31.40362162,36.16835135,35.72975676
